Term, count
cancer,534
women,291
breast,224
risk,219
=,201
results,187
among,173
screening,167
study,158
associated,157
95,142
patients,138
health,137
years,134
p,131
ci,123
care,119
use,117
factors,116
methods,108
age,103
used,101
data,96
may,94
<,93
conclusions,89
crc,85
higher,81
survivors,79
smoking,76
mammography,72
[,71
],71
associations,70
participants,70
diagnosed,70
diagnosis,68
treatment,65
reported,64
likely,63
background,63
compared,62
colorectal,62
lower,61
using,61
information,60
differences,59
high,58
significant,57
exposure,56
regression,56
medical,56
men,55
months,54
outcomes,54
status,53
association,52
included,50
analysis,49
physical,49
>,49
white,49
greater,48
intervention,48
prostate,48
studies,47
n,47
cases,47
odds,47
history,46
older,46
rates,46
interval,45
analyses,45
two,45
significantly,45
african,45
confidence,45
follow-up,44
increased,44
american,43
within,43
observed,42
therapy,42
research,41
also,41
less,41
testing,41
overall,41
models,40
survey,40
tobacco,40
effects,40
levels,40
across,39
stage,39
disease,39
examined,39
received,39
genetic,39
mortality,39
whether,38
test,38
cohort,38
patient,38
examine,37
respectively,37
findings,37
smokers,37
similar,37
clinical,37
ratio,37
characteristics,36
identify,36
mammogram,36
positive,36
2,35
logistic,35
found,35
symptoms,35
objective,35
tumor,35
identified,35
body,34
groups,34
1,34
10,34
quality,34
survival,34
conclusion,33
time,33
recent,33
distress,33
aged,32
weight,32
including,31
barriers,31
impact,31
prevalence,31
purpose,30
relationship,30
adjusted,30
suggest,30
one,30
depression,30
incidence,30
disparities,30
primary,30
negative,29
interaction,29
assessed,29
important,29
insurance,29
mutations,29
controls,29
design,28
activity,28
interventions,28
ovarian,28
fatigue,28
model,28
scores,28
chemotherapy,28
measures,28
vs.,28
population,28
conducted,27
new,27
group,27
three,27
receipt,27
black,27
low,26
future,26
national,26
control,26
prior,26
medicare,26
individuals,25
adults,25
role,25
current,25
hispanic,25
life,25
common,24
chronic,24
index,24
population-based,24
total,24
evidence,24
perceived,24
related,24
strategies,24
without,24
surgery,24
cancers,24
trial,24
density,24
cigarettes,24
sample,23
psychological,23
baseline,23
first,23
younger,23
ages,23
report,23
addiction,23
behavioral,23
however,23
burden,23
number,22
3,22
completed,22
family,22
race,22
coverage,22
better,22
multiple,22
tumors,22
per,22
intake,22
5,21
patterns,21
mean,21
social,21
individual,21
increase,21
potential,21
12,21
cigarette,21
variables,21
intervals,21
physicians,21
income,21
support,21
whites,21
smoke,21
adult,20
well,20
effect,20
known,20
specific,20
snps,20
risks,20
prospective,20
multivariate,20
functioning,20
4,20
costs,20
improve,20
children,20
late-stage,20
hookah,20
qol,20
affect,19
0.01,19
lifestyle,19
americans,19
education,19
colonoscopy,19
evaluated,19
hrqol,19
diet,19
states,19
mass,19
estimated,19
statistically,19
11,19
least,19
0.001,19
melanoma,19
racial/ethnic,19
stress,18
changes,18
cortisol,18
rate,18
year,18
incident,18
several,18
males,18
behaviors,18
socioeconomic,18
reduce,18
6,18
40,18
repeat,18
correlates,18
based,18
multivariable,18
comorbidity,18
surveillance,18
large,18
neighborhood,18
advanced,18
adjustment,18
lung,18
assess,18
diagnostic,18
us,18
evaluate,18
respondents,18
beliefs,18
particularly,18
vs,18
death,17
populations,17
need,17
adherence,17
physician,17
increasing,17
participation,17
function,17
although,17
estimate,17
adjuvant,17
self-reported,17
reporting,17
non-hispanic,17
50,17
mvpa,17
despite,16
mental,16
measured,16
