Term, count
cancer,1466
breast,733
=,729
women,687
risk,556
screening,498
results,480
p,446
95,443
patients,405
study,399
ci,395
associated,390
among,367
years,336
health,321
use,309
data,307
<,292
methods,281
survivors,248
may,243
care,239
age,232
used,230
mammography,228
factors,196
association,192
[,189
],189
using,187
higher,187
compared,184
conclusions,183
diagnosis,168
crc,166
increased,162
reported,160
significant,160
background,158
participants,155
diagnosed,155
studies,154
associations,152
activity,151
rates,150
lower,148
colorectal,147
months,146
1,146
treatment,145
significantly,144
n,139
analysis,134
physical,133
disease,132
2,129
clinical,129
density,128
test,126
status,125
cases,124
prostate,123
>,123
within,122
follow-up,120
survey,119
10,119
likely,119
confidence,118
interval,118
stage,116
smoking,114
men,112
total,112
tumor,111
regression,110
observed,108
patient,108
mortality,108
analyses,107
identified,105
survival,105
conclusion,105
across,104
two,101
findings,101
examined,100
characteristics,100
therapy,100
models,99
levels,99
group,98
outcomes,97
cancers,97
effects,97
physicians,96
one,96
time,96
information,95
control,95
testing,95
respectively,95
whether,95
included,94
high,94
cohort,93
odds,93
also,92
overall,92
history,91
including,91
older,90
groups,90
primary,89
less,89
ratio,88
genetic,88
research,88
body,88
vs.,86
3,85
rate,85
model,84
surveillance,84
positive,83
population,82
diagnostic,82
sensitivity,82
controls,81
objective,81
symptoms,81
differences,81
tumors,80
intake,80
weight,80
however,79
exposure,79
greater,79
medical,78
purpose,77
identify,77
index,77
mean,76
year,76
sample,75
quality,75
national,75
adjusted,75
similar,75
effect,74
three,74
recommendations,74
potential,73
common,72
white,72
aged,72
baseline,71
per,71
without,71
genes,70
tests,70
hr,70
evidence,70
expression,69
incidence,69
states,69
logistic,69
current,69
smokers,69
lung,68
first,68
found,67
conducted,67
evaluated,67
colonoscopy,67
important,66
design,66
increase,66
assessed,65
examine,65
detection,65
suggest,65
low,65
based,64
5,63
additional,63
united,62
new,62
individuals,62
support,62
bmi,62
relative,61
serum,61
chronic,61
received,61
blood,60
intervention,60
number,59
measures,59
dietary,57
increasing,57
mammograms,57
mass,57
family,56
0.001,56
practice,56
performance,56
decreased,56
american,56
relationship,56
hormone,56
cam,56
life,55
large,55
gene,55
impact,55
perceived,55
related,54
population-based,54
4,54
ovarian,54
development,53
x,53
african,53
invasive,53
well,53
chemotherapy,53
30,52
assess,52
statistically,52
12,51
reporting,51
performed,51
colon,51
although,51
estrogen,51
physician,51
hpv,51
negative,51
0.01,50
snps,50
prevalence,50
measured,50
collected,49
cell,49
prior,48
needed,48
diet,48
mammogram,48
level,47
50,47
estimated,47
variants,47
recommended,47
interventions,47
interaction,47
prevention,47
0.05,47
future,47
trend,47
versus,47
recent,47
