Term, count
cancer,361
women,192
use,180
breast,163
among,162
=,153
results,151
patients,147
associated,142
health,138
study,138
p,120
risk,120
screening,117
data,103
smoking,101
95,100
methods,99
<,93
years,88
may,86
tobacco,81
ci,73
used,71
conclusions,71
smokers,64
participants,61
age,60
association,60
using,59
increased,59
months,59
follow-up,58
compared,54
likely,53
care,52
time,51
significantly,51
factors,51
mortality,51
2,50
mammography,50
group,49
cigarettes,49
current,48
survey,48
treatment,48
background,47
diagnosis,47
physical,46
regression,45
analysis,45
higher,45
survivors,45
cigarette,45
effects,44
clinical,42
activity,42
quit,41
intervention,41
exposure,41
1,39
high,38
groups,38
greater,38
outcomes,38
control,38
studies,37
within,37
information,37
colorectal,37
n,36
analyses,36
year,36
older,36
stage,36
>,35
significant,35
disease,35
lung,35
10,34
examine,34
measures,34
conclusion,34
also,33
examined,33
first,33
lower,33
change,33
reported,33
findings,33
levels,33
confidence,32
one,32
purpose,32
associations,32
diagnosed,32
effect,32
support,31
whether,31
obesity,31
across,31
less,31
chemotherapy,31
weight,31
costs,31
cases,30
logistic,30
conducted,30
[,30
],30
models,30
observed,30
rates,30
death,30
research,29
prevalence,29
population,29
life,29
assessed,28
objective,28
cessation,28
interventions,28
impact,28
national,28
characteristics,28
cohort,27
without,27
symptoms,27
3,27
mammograms,27
trial,26
adjusted,26
two,26
positive,26
important,26
overall,26
status,26
interval,26
surveillance,26
increase,26
receipt,26
adult,26
survival,26
sample,25
sensitivity,25
baseline,25
identified,25
work,25
assess,25
social,25
function,25
evidence,25
behaviors,25
aged,25
hr,25
campaign,25
however,24
e-cigarette,24
similar,23
assessment,23
medical,23
behavioral,23
ratio,23
including,23
5,23
products,23
relationship,22
total,22
test,22
index,22
included,22
changes,22
medicare,22
testing,22
disparities,22
increasing,22
perceptions,22
physicians,22
users,22
rate,22
identify,21
odds,21
x,21
chronic,21
overweight,21
patterns,21
brand,21
pcps,21
dietary,20
controls,20
three,20
depression,20
history,20
perceived,20
therapy,20
education,20
ovarian,20
tumor,20
body,20
primary,20
received,20
crc,20
design,20
4,19
prospective,19
evaluated,19
