Term, count
cancer,398
women,197
=,195
breast,142
results,136
study,133
associated,133
p,132
patients,127
health,116
use,113
among,112
risk,112
years,103
may,101
95,99
activity,99
methods,98
<,97
ci,95
physical,91
survivors,90
data,70
screening,70
smoking,69
diagnosis,59
n,58
higher,58
conclusions,57
used,57
participants,56
association,56
mortality,55
lower,53
months,53
care,53
stage,52
age,52
information,52
using,52
background,51
intervention,51
diagnosed,51
total,49
outcomes,49
smokers,48
quit,47
compared,47
reported,46
support,46
prostate,46
[,45
],45
high,44
life,44
time,43
significant,43
tobacco,43
2,42
groups,41
group,41
regression,41
survival,41
dietary,39
effects,39
cigarette,39
treatment,39
weight,38
associations,38
rates,38
1,37
greater,37
increased,37
diet,37
pa,37
follow-up,36
models,36
10,36
body,35
year,35
likely,35
examined,34
factors,34
baseline,34
analysis,34
conclusion,34
survey,34
analyses,33
significantly,33
included,33
one,32
observed,32
findings,32
less,32
control,32
>,32
quality,32
status,31
examine,31
across,31
hr,31
studies,30
patient,30
perceived,30
conducted,29
fat,29
clinical,29
aged,29
within,28
whether,28
3,28
also,28
mammography,28
current,27
interventions,27
assessed,27
disease,27
measures,27
bmi,27
first,26
sample,26
overall,26
colorectal,26
increasing,26
objective,25
change,25
purpose,25
interval,25
changes,25
research,25
design,25
levels,25
older,25
men,25
intake,25
density,25
logistic,24
impact,24
percent,24
suggest,24
history,24
united,24
exercise,24
eating,23
lifestyle,23
trial,23
e-cigarette,23
children,23
without,22
symptoms,22
confidence,22
respectively,22
effect,22
therapy,22
characteristics,22
increase,22
population,22
users,22
behaviors,22
received,22
cam,22
hrqol,22
low,22
0.001,21
individuals,21
differences,21
cohort,21
positive,21
similar,21
work,21
medical,21
index,21
cessation,20
measured,20
mean,20
potential,20
family,20
complete,20
per,20
social,20
exposure,20
response,19
assessment,19
reduce,19
adjusted,19
trend,19
adults,19
national,19
including,19
mass,19
5,19
mammographic,19
tumor,19
communication,19
related,18
important,18
assess,18
death,18
future,18
longitudinal,18
relationship,18
mental,18
however,18
needed,18
test,18
two,18
evaluated,18
management,18
randomized,18
negative,18
recall,18
approximately,18
states,18
vs.,17
least,17
role,17
found,17
level,17
prospective,17
ovarian,17
.001,17
distress,17
relative,17
improve,17
hazard,17
program,17
chronic,17
area,17
receipt,17
fiber,16
6,16
number,16
home,16
well,16
male,16
statistically,16
evidence,16
expression,16
identified,16
primary,16
outcome,16
psychological,16
better,16
education,16
ii,16
multiple,16
surgery,16
scores,16
attempt,15
completed,15
depression,15
ratio,15
population-based,15
setting,15
score,15
health-related,15
human,15
chemotherapy,15
median,15
vs,15
surveillance,15
strategies,15
cases,15
rate,15
three,15
crc,15
motivation,15
crp,15
affect,15
expectancy,15
adherence,14
behavioral,14
+/-,14
decreased,14
predictors,14
known,14
cox,14
products,14
performance,14
beta,14
cbsm,14
subsequent,14
decision-making,14
white,14
inflammation,14
barriers,14
linear,14
tumors,14
adult,14
trajectory,14
iii,14
week,13
healthy,13
secondary,13
scale,13
comparison,13
4,13
although,13
patterns,13
quitting,13
regarding,13
0.01,13
0.05,13
snps,13
x,13
american,13
followed,13
influence,13
radiation,13
determine,13
severity,13
0,13
cross-sectional,13
self-efficacy,13
obesity,13
ends,13
dense,13
sun,13
perceptions,13
odds,12
postmenopausal,12
postdiagnosis,12
common,12
specific,12
decrease,12
burden,12
public,12
physicians,12
benefit,12
model,12
physician,12
os,12
versus,12
percentage,12
multivariable,12
cancer-specific,12
usa,12
large,12
fatigue,12
functioning,12
saa,12
g/cm2,12
school,12
prevention,12
hysterectomy,12
overweight,12
stress,11
provide,11
obese,11
period,11
estrogen,11
prior,11
testing,11
independent,11
past,11
12,11
tested,11
african,11
state,11
promote,11
authors,11
cancers,11
respondents,11
proportional,11
diabetes,11
long-term,11
alternative,11
adjustments,11
invasive,11
detection,11
stratified,11
estimated,11
additional,11
following,11
coping,11
function,11
prevalence,11
moderate,11
psychosocial,11
intentions,11
kshv,11
erbeta,11
emotional,11
guidelines,11
motivational,11
warnings,11
predicted,10
longer,10
relationships,10
demographic,10
hormone,10
main,10
benefits,10
deaths,10
2009,10
little,10
protective,10
controlling,10
understand,10
enrolled,10
general,10
regardless,10
never,10
multivariate,10
according,10
providers,10
provided,10
telephone,10
receiving,10
present,10
end,10
estimate,10
31,10
advanced,10
size,10
50,10
biopsy,10
underwent,10
programs,10
condition,10
symptom,10
partners,10
ratios,10
five,10
lung,10
controls,10
interactions,10
youth,10
well-being,10
oop,10
vigorous,10
elephants,10
marijuana,10
pcps,10
early,9
depressive,9
behavior,9
obtain,9
practice,9
substantial,9
measurements,9
average,9
active,9
institute,9
individual,9
lifetime,9
u.s.,9
vegetables,9
dairy,9
receptor,9
addiction,9
normal,9
ancestry,9
cbe,9
type,9
based,9
african-american,9
race,9
method,9
samples,9
post-diagnosis,9
effective,9
epidemiology,9
approach,9
different,9
mammograms,9
participated,9
community,9
30,9
genetic,9
40,9
hypothesized,9
identify,9
lymphedema,9
income,9
receive,9
analyzed,9
collected,9
anti-tobacco,9
adjuvant,9
resilience,9
activities,9
spiritual,9
harm,9
larger,8
major,8
assessments,8
visits,8
via,8
china,8
selected,8
would,8
emerging,8
understanding,8
help,8
consumption,8
made,8
even,8
defined,8
food,8
watching,8
heroin,8
four,8
frequency,8
six,8
might,8
beliefs,8
implications,8
elevated,8
consistent,8
sites,8
urine,8
observational,8
treatments,8
often,8
conservative,8
hazards,8
adjustment,8
practices,8
recalled,8
efforts,8
cervical,8
calculated,8
medicine,8
process,8
20,8
met,8
9,8
f,8
incidence,8
dna,8
yet,8
describe,8
hispanic,8
chemoradiation,8
hrs,8
e.g.,8
controlled,8
areas,8
interview,8
vd,8
mice,8
kg/m2,8
cancer-related,8
representative,8
morcellation,8
experiences,8
pf,8
pictorial,8
schools,8
cortisol,8
icv,8
campaign,8
conversations,8
caregivers,8
bans,8
ptg,8
factor,7
people,7
prognosis,7
ht,7
2003,7
volume,7
behaviours,7
introduction,7
25,7
transitions,7
report,7
new,7
pilot,7
sf-36,7
component,7
summary,7
difference,7
employed,7
binge,7
americans,7
female,7
delivery,7
beta-blocker,7
hypertension,7
therapeutic,7
reports,7
settings,7
nnn,7
65,7
treated,7
radical,7
traditional,7
norway,7
nc,7
mammogram,7
surgical,7
every,7
36,7
kingdom,7
direct,7
60,7
complementary,7
therapies,7
suggests,7
involved,7
improved,7
development,7
modeling,7
statistical,7
novel,7
interaction,7
estimates,7
intervals,7
fvi,7
short,7
sex,7
concentrations,7
inverse,7
investigated,7
endometrial,7
/=,7
laparoscopic,7
ia,7
newly,7
gleason,7
trajectories,7
measure,7
walking,7
processing,7
complex,7
compassion,7
sedentary,7
interviewing,7
rr,7
latino,7
tv,7
caregiver,7
lapsing,7
nicotine,6
ppi,6
abstinence,6
evaluation,6
living,6
prognostic,6
heal,6
later,6
loss,6
publication,6
articles,6
local,6
month,6
smoking-related,6
obtained,6
seven,6
chinese,6
predictor,6
ages,6
18,6
surveys,6
gender,6
providing,6
adjusting,6
``,6
'',6
investigate,6
need,6
oprm1,6
functional,6
single,6
-5,6
examination,6
proportion,6
perception,6
growth,6
eoc,6
confirmed,6
performed,6
range,6
given,6
developed,6
us,6
records,6
considering,6
effectiveness,6
december,6
annual,6
screens,6
1000,6
second,6
remained,6
uk,6
consortium,6
standard,6
context,6
resulting,6
california,6
helpful,6
due,6
personal,6
brief,6
positively,6
conventional,6
costs,6
reduced,6
system,6
2000,6
seer,6
75,6
comorbidity,6
attitudes,6
24,6
8,6
reporting,6
many,6
questionnaires,6
poor,6
bowel,6
detailed,6
habits,6
reduction,6
pten,6
either,6
exposures,6
bmd,6
lm,6
member,6
mn,6
mechanisms,6
genes,6
1.2,6
screened,6
fewer,6
2014,6
students,6
educated,6
intention,6
bes,6
efficacy,6
delivered,6
blood,6
indirect,6
covariates,6
economic,6
nationally,6
hours,6
intensity,6
eudaimonic,6
localized,6
yr,6
travel,6
pre-,6
brisk,6
mediterranean,6
metformin,6
adenoma,6
sessions,6
rectal,6
experience,6
dyads,6
adolescent,6
nhl,6
messages,6
sports/recreational,6
religious,6
2008,6
hftc,6
pdv,6
alliance,6
teachers,6
whole,6
chemicals,6
lapse,5
startle,5
achieved,5
completion,5
fruit/vegetable,5
varied,5
covariance,5
increases,5
younger,5
focus,5
trials,5
whereas,5
decline,5
ept-whi,5
review,5
published,5
majority,5
growing,5
cigarettes,5
tar,5
sought,5
packs,5
explored,5
45,5
self-reported,5
pcs,5
mcs,5
medicare,5
managed,5
addition,5
smokeless,5
dual,5
half,5
objectives,5
consumed,5
gene,5
despite,5
tissue,5
quantitative,5
loci,5
case-control,5
-6,5
surveyed,5
affected,5
ways,5
nonusers,5
approaches,5
randomly,5
accuracy,5
conditions,5
unknown,5
applied,5
evaluate,5
1990,5
matched,5
limited,5
addressing,5
confounding,5
subset,5
compare,5
icr,5
situ,5
recommendation,5
twice,5
target,5
reducing,5
registries,5
susceptibility,5
decision,5
result,5
targeting,5
correspondence,5
self-report,5
satisfaction,5
partner,5
indicated,5
could,5
strategy,5
cell,5
declined,5
pathway,5
tests,5
key,5
cis,5
alpha,5
0.96,5
relation,5
random,5
non-hispanic,5
still,5
progression,5
nurses,5
confirm,5
cut-scores,5
classified,5
demographics,5
fruit,5
much,5
scales,5
recommendations,5
inform,5
formally,5
variables,5
interviews,5
serum,5
energy,5
extent,5
multivariate-adjusted,5
weeks,5
hyperplasia,5
independently,5
p-trend,5
0.0001,5
lowest,5
excess,5
ethnic,5
asian,5
previously,5
limitations,5
contribute,5
dose-response,5
phase,5
abdominal,5
000,5
noticing,5
absolute,5
assessing,5
demonstrated,5
discussion,5
art,5
hiv-infected,5
highly,5
importance,5
signaling,5
acceptance,5
highest,5
strongly,5
ne,5
fit,5
utilization,5
trends,5
counseling,5
necessary,5
accelerometer,5
sitting,5
diverse,5
needs,5
aerobic,5
minutes,5
length,5
6-month,5
bisphosphonates,5
illness,5
self-care,5
focused,5
vessel,5
elephant,5
constructive,5
patient-reported,5
reminder,5
tracking,5
sb,5
text,5
anticipated,5
ban,5
grains,5
problems,4
posttraumatic,4
ptsd,4
34,4
day,4
duration,4
diagnostic,4
processes,4
activation,4
center,4
recurrence,4
lean,4
incident,4
0-iiia,4
visit,4
74,4
.05,4
1998,4
arm,4
july,4
greatest,4
tnco,4
values,4
e-cigarettes,4
21,4
several,4
recently,4
small,4
encouraging,4
recent,4
exclusive,4
previous,4
dependence,4
best,4
males,4
western,4
explore,4
spent,4
television,4
european,4
show,4
members,4
washington,4
facilitate,4
preventive,4
suggested,4
adrenergic,4
epithelial,4
documented,4
beta-blockers,4
nonselective,4
assigned,4
feasible,4
represent,4
ascertained,4
relatives,4
site,4
+,4
nnal,4
excellent,4
possible,4
cvd,4
retrospective,4
15,4
plan,4
enrollment,4
subjects,4
strongest,4
rather,4
0.97,4
early-stage,4
14,4
prostatectomy,4
all-cause,4
differed,4
elderly,4
ie,4
0.54,4
carcinoma,4
involvement,4
set,4
million,4
open,4
nearly,4
detected,4
cm,4
bcsc,4
nbccedp,4
nhsbsp,4
imaging,4
correlated,4
commonly,4
goals,4
professionals,4
diseases,4
100,4
recommended,4
ongoing,4
require,4
combined,4
literature,4
lesions,4
saved,4
product,4
genome-wide,4
value,4
components,4
immune,4
menopausal,4
e+p,4
indicate,4
vitamin,4
postdiagnostic,4
vulvar,4
weighted,4
stages,4
noted,4
persistent,4
clinically,4
threshold,4
fv,4
daily,4
paper,4
39,4
skin,4
probability,4
form,4
measurement,4
remains,4
permanent,4
qualitative,4
worse,4
since,4
circulating,4
hormones,4
tamoxifen,4
systemic,4
protein,4
tertiles,4
49,4
los,4
angeles,4
inversely,4
events,4
demonstrate,4
classes,4
atypia,4
fm,4
relate,4
prevent,4
registry,4
disparities,4
placental,4
7,4
150,4
min,4
clinicians,4
texas,4
middle,4
almost,4
power,4
dissemination,4
beneficial,4
influenced,4
reach,4
variability,4
participating,4
post-intervention,4
eaters,4
make,4
recruited,4
personalized,4
points,4
acquisition,4
available,4
aimed,4
mediation,4
disease-free,4
.0001,4
families,4
atypical,4
lobules,4
15-yr,4
pcsm,4
5-7,4
access,4
difficulty,4
resistance,4
protocol,4
extracted,4
output,4
particularly,4
course,4
equivalent,4
met-h/wk,4
days,4
software,4
telomere,4
triple-negative,4
cause,4
attempts,4
advice,4
protection,4
class,4
informational,4
friends,4
throughout,4
betas,4
parents,4
similarities,4
